"","fulltaxa","station_km","Sample_date","KO","N","counts","sd","se","ci"
"33","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",665,"Jun 22","K01609",56,0,0,0,0
"34","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",665,"Jun 22","K01652",50,0.000343239083249284,5.09334398158961e-06,7.20307613659541e-07,1.44751234352587e-06
"35","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",665,"Jun 22","K01673",35,0,0,0,0
"36","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",665,"Jun 22","K04517",42,0.000717092337917485,0,0,0
"37","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",665,"Nov 22","K00281",112,4999999.9995,5022472.02283698,474578.997828792,940409.965703455
"38","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",665,"Nov 22","K01591",112,0,0,0,0
"39","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",665,"Nov 22","K01609",112,0,0,0,0
"40","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",665,"Nov 22","K01652",100,0,0,0,0
"41","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",665,"Nov 22","K01673",70,0,0,0,0
"42","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",665,"Nov 22","K04517",84,0,0,0,0
"43","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",692,"Jun 22","K00281",112,0.000178537507506403,0.000179394837294531,1.69512187846509e-05,3.35899716355678e-05
"44","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",692,"Jun 22","K01591",112,0,0,0,0
"45","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",692,"Jun 22","K01609",112,0,0,0,0
"46","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",692,"Jun 22","K01652",100,5.45638831058678e-05,5.57853833104074e-05,5.57853833104074e-06,1.10690303215256e-05
"47","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",692,"Jun 22","K01673",70,0,0,0,0
"48","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",692,"Jun 22","K04517",84,0,0,0,0
"49","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",692,"Nov 22","K00281",112,0.000720266248391247,0.000726638822773445,6.86609149294026e-05,0.000136056186534452
"50","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",692,"Nov 22","K01591",112,0,0,0,0
"51","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",692,"Nov 22","K01609",112,0,0,0,0
"52","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",692,"Nov 22","K01652",100,0,0,0,0
"53","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",692,"Nov 22","K01673",70,0,0,0,0
"54","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",692,"Nov 22","K04517",84,0.00263664596273292,0.00265248181660267,0.000289409492954184,0.000575623841486758
"55","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",713,"May 22","K00281",112,7.95222924309153e-05,2.9089384589488e-05,2.74868847913214e-06,5.44670971580301e-06
"56","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",713,"May 22","K01591",112,0,0,0,0
"57","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",713,"May 22","K01609",112,0,0,0,0
"58","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",713,"May 22","K01652",100,0,0,0,0
"59","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",713,"May 22","K01673",70,0,0,0,0
"60","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",713,"May 22","K04517",84,0,0,0,0
"61","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",713,"Jun 22","K00281",112,0,0,0,0
"62","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",713,"Jun 22","K01591",112,0,0,0,0
"63","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",713,"Jun 22","K01609",112,0,0,0,0
"64","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",713,"Jun 22","K01652",100,0,0,0,0
"65","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",713,"Jun 22","K01673",70,0,0,0,0
"66","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",713,"Jun 22","K04517",84,0,0,0,0
"67","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",713,"Nov 22","K00281",112,0,0,0,0
"68","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",713,"Nov 22","K01591",112,0,0,0,0
"69","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",713,"Nov 22","K01609",112,0,0,0,0
"70","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",713,"Nov 22","K01652",100,0,0,0,0
"71","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",713,"Nov 22","K01673",70,0,0,0,0
"72","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",713,"Nov 22","K04517",84,0,0,0,0
"73","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",633,"May 22","K00281",10,0,0,0,0
"74","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",633,"May 22","K01610",2,0,0,0,0
"75","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",633,"Jun 22","K00281",10,0,0,0,0
"76","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",633,"Jun 22","K01610",2,0,0,0,0
"77","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",633,"Nov 22","K00281",10,0,0,0,0
"78","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",633,"Nov 22","K01610",2,0,0,0,0
"79","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",651,"May 22","K00281",5,0,0,0,0
"80","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",651,"May 22","K01610",1,0,NA,NA,NA
"81","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",651,"Nov 22","K00281",10,0,0,0,0
"82","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",651,"Nov 22","K01610",2,0,0,0,0
"83","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",665,"Jun 22","K00281",5,0.0046038961038961,0,0,0
"84","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",665,"Jun 22","K01610",1,0,NA,NA,NA
"85","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",665,"Nov 22","K00281",10,4999999.9995,5270462.76642025,1666666.6665,3770261.93761998
"86","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",665,"Nov 22","K01610",2,0,0,0,0
"87","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",692,"Jun 22","K00281",10,0.00127841375476763,0.000211583518133058,6.69085832652e-05,0.000151357730886052
"88","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",692,"Jun 22","K01610",2,0.000948700511328451,0.00021533465718242,0.00015226459631817,0.00193470513488965
"89","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",692,"Nov 22","K00281",10,0.00191286991208165,0.00112610671256224,0.000356106210010121,0.000805568213691318
"90","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",692,"Nov 22","K01610",2,0.0013251723169789,0.000771654903730886,0.000545642415163962,0.00693304423981413
"91","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",713,"May 22","K00281",10,0.00127495365030213,6.3694300259113e-05,2.0141906278945e-05,4.55641575613256e-05
"92","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",713,"May 22","K01610",2,0.00142853958944282,3.86524058690077e-06,2.733137829915e-06,3.47278088390843e-05
"93","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",713,"Jun 22","K00281",10,4999999.9999922,5270462.76590142,1666666.66633593,3770261.93724883
"94","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",713,"Jun 22","K01610",2,4999999.99988791,7071067.81060978,4999999.99911209,63531023.6695915
"95","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",713,"Nov 22","K00281",10,0.00298255921605048,0.000217961597626182,6.89255090947883e-05,0.000155920334098288
"96","Bacteria__Bacteroidota__Bacteroidia__Flavobacteriales__Schleiferiaceae__TMED14__TMED14 sp003507115__",713,"Nov 22","K01610",2,0.00284944289356362,0.000885295595533675,0.000625998518956445,0.00795406534640272
"109","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",633,"May 22","K00281",148,0.000414305517308641,5.2741576069013e-05,4.33533084731711e-06,8.56762522554944e-06
"110","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",633,"May 22","K01652",122,0.000896258039770257,0.000222461667107775,2.01407329974648e-05,3.9873893338677e-05
"111","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",633,"Jun 22","K00281",148,0.00021935067614184,6.82508456539208e-05,5.61018495411941e-06,1.10870343753941e-05
"112","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",633,"Jun 22","K01652",122,0.00046640397736627,7.45405130146451e-05,6.74858095617295e-06,1.33605960253651e-05
"113","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",633,"Nov 22","K00281",148,0.000244963714042529,6.33671127976781e-05,5.20874458620131e-06,1.02936945487792e-05
"114","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",633,"Nov 22","K01652",122,0.000704874933394693,3.12311129305179e-05,2.82753210890259e-06,5.59784560652573e-06
"115","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",651,"May 22","K00281",74,0,0,0,0
"116","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",651,"May 22","K01652",61,0,0,0,0
"117","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",651,"Nov 22","K00281",148,0,0,0,0
"118","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",651,"Nov 22","K01652",122,0,0,0,0
"119","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",665,"Jun 22","K00281",74,0.000286610308153804,0,0,0
"120","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",665,"Jun 22","K01652",61,0.000148867890889642,0,0,0
"121","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",665,"Nov 22","K00281",148,4999999.9995,5016977.97704723,412393.049379922,814984.880541515
"122","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",665,"Nov 22","K01652",122,0,0,0,0
"123","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",692,"Jun 22","K00281",148,0.000304772294813922,8.75869082584978e-05,7.19959950945214e-06,1.42280883612857e-05
"124","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",692,"Jun 22","K01652",122,0.000248621859825392,0.000116847066030613,1.0578836295961e-05,2.09435967482201e-05
"125","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",692,"Nov 22","K00281",148,0.000163155004808567,0.000109367003289204,8.98991229268344e-06,1.77661641168485e-05
"126","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",692,"Nov 22","K01652",122,0.000111963589076723,0.000112425296557492,1.01785080978839e-05,2.0151041488558e-05
"127","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",713,"May 22","K00281",148,0.000173913043478261,0.000174503581827789,1.4344106066823e-05,2.83473001955831e-05
"128","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",713,"May 22","K01652",122,0.000119596541786744,0.0001200897254947,1.0872412889704e-05,2.15248090500322e-05
"129","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",713,"Jun 22","K00281",148,2.8169014084507e-05,2.82646646622475e-05,2.3233411234995e-06,4.59146411618599e-06
"130","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",713,"Jun 22","K01652",122,0,0,0,0
"131","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",713,"Nov 22","K00281",148,7.6923076923077e-05,7.71842765776758e-05,6.34450845263326e-06,1.25382289326618e-05
"132","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Fonsibacter__Fonsibacter sp018882565__",713,"Nov 22","K01652",122,9.97099347353155e-05,0.00010012111146834,9.06453952139232e-06,1.79456468682503e-05
"133","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",633,"May 22","K00281",70,0,0,0,0
"134","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",633,"May 22","K01652",74,0,0,0,0
"135","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",633,"Jun 22","K00281",70,0,0,0,0
"136","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",633,"Jun 22","K01652",74,0,0,0,0
"137","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",633,"Nov 22","K00281",70,0,0,0,0
"138","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",633,"Nov 22","K01652",74,0,0,0,0
"139","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",651,"May 22","K00281",35,0,0,0,0
"140","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",651,"May 22","K01652",37,0,0,0,0
"141","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",651,"Nov 22","K00281",70,0,0,0,0
"142","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",651,"Nov 22","K01652",74,0,0,0,0
"143","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",665,"Jun 22","K00281",35,0,0,0,0
"144","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",665,"Jun 22","K01652",37,0,0,0,0
"145","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",665,"Nov 22","K00281",70,0,0,0,0
"146","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",665,"Nov 22","K01652",74,0,0,0,0
"147","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",692,"Jun 22","K00281",70,0.000677098148917531,2.1191014859559e-05,2.53281072209752e-06,5.05281913738289e-06
"148","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",692,"Jun 22","K01652",74,0.000212116380229469,7.39186267427395e-05,8.5928658180292e-06,1.71255568784894e-05
"149","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",692,"Nov 22","K00281",70,0.000414171282485422,4.71266397840789e-05,5.63271081317276e-06,1.1236950611364e-05
"150","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",692,"Nov 22","K01652",74,0.000606643663316853,0.000221712466293182,2.5773550686651e-05,5.1366612442472e-05
"151","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",713,"May 22","K00281",70,0.000625580066391588,8.60072010805372e-05,1.02798267340234e-05,2.05076932111368e-05
"152","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",713,"May 22","K01652",74,0.000353795239119812,7.34032245372124e-05,8.53295152863332e-06,1.70061478719236e-05
"153","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",713,"Jun 22","K00281",70,0.00101789716755259,0.000329896282268106,3.94301474679895e-05,7.86609919082678e-05
"154","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",713,"Jun 22","K01652",74,0.000123642376012661,4.77432577253812e-05,5.55004097651318e-06,1.10612157147617e-05
"155","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",713,"Nov 22","K00281",70,0.00119002760018286,0.000238950831886152,2.85600870494582e-05,5.69758147143802e-05
"156","Bacteria__Proteobacteria__Alphaproteobacteria__Pelagibacterales__Pelagibacteraceae__Pelagibacter__Pelagibacter ubique__",713,"Nov 22","K01652",74,0.000299890750182083,0.000301937809783559,3.50995574348192e-05,6.99533170876005e-05
